Number of newly added trainable parameters: 1800. Total number of trainable parameters: 1800
Number of newly added trainable parameters: 430. Total number of trainable parameters: 2230
⚠️ Starting from scratch...

--- 🚀 CHUNK 1/10 (100 trials) ---
Added 50 recordings. See `.recordings` for details.
Epoch 79: Loss 6587.0230
Epoch 80: Loss 6581.6771
Epoch 81: Loss 7780.9758
Epoch 82: Loss 6741.9379
Epoch 83: Loss 7939.6625
Epoch 84: Loss 6773.7779
Epoch 85: Loss 7367.8185
Epoch 86: Loss 7380.7329
Epoch 87: Loss 7993.6352
Epoch 88: Loss 7392.2723
Epoch 89: Loss 6915.8527
Epoch 90: Loss 7325.7118
Epoch 91: Loss 8033.0480
Epoch 92: Loss 7934.9985
Epoch 93: Loss 7394.9346
Epoch 94: Loss 7468.6074
Epoch 95: Loss 7806.3373
Epoch 96: Loss 6545.9675
Epoch 97: Loss 7331.2991
Epoch 98: Loss 7311.4327
Epoch 99: Loss 7364.0463
Added 50 recordings. See `.recordings` for details.
📊 Chunk 3 Final Kappas - Pre: 0.2262 | Stim: 0.1185 | Post: 0.2107
⚠️ Total Kappa (0.5554) > 0.1. Continuing training...

--- 🚀 CHUNK 4/10 (100 trials) ---
Added 50 recordings. See `.recordings` for details.
Epoch 0: Loss 7379.7128
Epoch 1: Loss 7379.7128
Epoch 2: Loss 6796.3433
Epoch 3: Loss 6796.3433
Epoch 4: Loss 8299.1460
Epoch 5: Loss 8322.4010
Epoch 6: Loss 7825.7722
Epoch 7: Loss 7962.9514
Epoch 8: Loss 8063.3962
Epoch 9: Loss 8931.7446
Epoch 10: Loss 8912.5249
Epoch 11: Loss 7775.8940
Epoch 12: Loss 8850.7784
Epoch 13: Loss 7540.2799
Epoch 14: Loss 8015.1685
Epoch 15: Loss 7110.0491
Epoch 16: Loss 7205.8728
Epoch 17: Loss 6693.6022
Epoch 18: Loss 6693.6022
Epoch 19: Loss 6711.1856
Epoch 20: Loss 7370.3725
Epoch 21: Loss 7245.0501
Epoch 22: Loss 8114.2577
Epoch 23: Loss 7220.2448
Epoch 24: Loss 7429.9672
Epoch 25: Loss 7629.2564
Epoch 26: Loss 6141.9171
Epoch 27: Loss 6141.9171
Epoch 28: Loss 6849.1035
Epoch 29: Loss 7732.0616
Epoch 30: Loss 6391.4627
Epoch 31: Loss 6536.4223
Epoch 32: Loss 6913.6663
Epoch 33: Loss 7299.7023
Epoch 34: Loss 7187.7273
Epoch 35: Loss 7146.0221
Epoch 36: Loss 5876.9131
Epoch 37: Loss 5876.9131
Epoch 38: Loss 6210.5408
Epoch 39: Loss 5561.4312
Epoch 40: Loss 5561.4312
Epoch 41: Loss 6002.4158
Epoch 42: Loss 5768.2627
Epoch 43: Loss 5741.7043
Epoch 44: Loss 6106.0139
Epoch 45: Loss 5763.7512
Epoch 46: Loss 5808.8952
Epoch 47: Loss 6259.8062
Epoch 48: Loss 6434.3994
Epoch 49: Loss 6679.2581
Epoch 50: Loss 5978.8946
Epoch 51: Loss 6089.0870
Epoch 52: Loss 5731.1553
Epoch 53: Loss 5943.1756
Epoch 54: Loss 6085.9319
Epoch 55: Loss 6188.7085
Epoch 56: Loss 6390.1730
Epoch 57: Loss 6348.9523
Epoch 58: Loss 6392.4595
Epoch 59: Loss 5660.8705
Epoch 60: Loss 5872.5122
Epoch 61: Loss 5756.2236
Epoch 62: Loss 5675.2195
Epoch 63: Loss 6013.7089
Epoch 64: Loss 5994.6043
Epoch 65: Loss 6224.5745
Epoch 66: Loss 6201.5785
Epoch 67: Loss 6724.1123
Epoch 68: Loss 6161.0669
Epoch 69: Loss 5980.4621
Epoch 70: Loss 6002.9846
Epoch 71: Loss 6445.6684
Epoch 72: Loss 6237.6756
Epoch 73: Loss 6247.4914
Epoch 74: Loss 6150.9095
Epoch 75: Loss 6492.9772
Epoch 76: Loss 5906.0349
Epoch 77: Loss 5852.2331
Epoch 78: Loss 5991.5873
Epoch 79: Loss 5752.3152
Epoch 80: Loss 6207.0290
Epoch 81: Loss 6302.8944
Epoch 82: Loss 6083.6520
Epoch 83: Loss 6301.6494
Epoch 84: Loss 6121.3434
Epoch 85: Loss 6338.9253
Epoch 86: Loss 5969.6839
Epoch 87: Loss 5765.4586
Epoch 88: Loss 6541.5505
Epoch 89: Loss 6223.8784
Epoch 90: Loss 6245.3840
Epoch 91: Loss 5799.0986
Epoch 92: Loss 6322.7625
Epoch 93: Loss 6351.4625
Epoch 94: Loss 6140.0910
Epoch 95: Loss 6117.7803
Epoch 96: Loss 6480.7488
Epoch 97: Loss 6038.5383
Epoch 98: Loss 6217.7931
Epoch 99: Loss 7005.7558
Added 50 recordings. See `.recordings` for details.
📊 Chunk 4 Final Kappas - Pre: 0.1044 | Stim: 0.0842 | Post: 0.1288
⚠️ Total Kappa (0.3174) > 0.1. Continuing training...

--- 🚀 CHUNK 5/10 (100 trials) ---
Added 50 recordings. See `.recordings` for details.
Epoch 0: Loss 5753.9686
Epoch 1: Loss 5753.9686
Epoch 2: Loss 6871.5059
Epoch 3: Loss 6736.3958
Epoch 4: Loss 6562.1725
Epoch 5: Loss 7063.0056
Epoch 6: Loss 6117.6195
Epoch 7: Loss 6457.3678
Epoch 8: Loss 8533.9438
Epoch 9: Loss 6957.5999
Epoch 10: Loss 6768.3985
Epoch 11: Loss 5799.3941
Epoch 12: Loss 5963.2506
Epoch 13: Loss 5780.0213
Epoch 14: Loss 6105.7371
Epoch 15: Loss 5921.0271
Epoch 16: Loss 6353.3266
Epoch 17: Loss 6499.3874
Epoch 18: Loss 6490.2495
Epoch 19: Loss 6154.2222
Epoch 20: Loss 6082.3436
Epoch 21: Loss 5827.4684
Epoch 22: Loss 6309.6704
Epoch 23: Loss 5886.6920
Epoch 24: Loss 6623.9697
Epoch 25: Loss 6236.0460
Epoch 26: Loss 6603.1783
Epoch 27: Loss 6205.1287
Epoch 28: Loss 6649.7418
